 device, waktu, accx, accY, accZ
2212, 22:57:46,-7569,507,2916
2213, 22:57:46,-7670,49,2752
2214, 22:57:46,-7651,-392,2582
2215, 22:57:46,-7481,16,2761
2216, 22:57:46,-7772,-203,2718
2217, 22:57:47,-7809,-226,2637
2218, 22:57:47,-7792,147,2697
2219, 22:57:47,-7631,-18,2754
2220, 22:57:47,-7636,-442,2656
2221, 22:57:48,-7562,-476,2662
2222, 22:57:48,-7380,-948,2730
2223, 22:57:48,-7901,265,2616
2224, 22:57:48,-8044,556,2591
2225, 22:57:48,-7910,-207,2730
2226, 22:57:48,-7757,-379,2674
2227, 22:57:48,-7414,-348,2737
2228, 22:57:48,-7441,-216,2672
2229, 22:57:48,-7854,-148,2567
2230, 22:57:48,-8021,-159,2448
2231, 22:57:48,-7736,-1278,2315
2232, 22:57:48,-7817,-31,2251
2233, 22:57:48,-7646,279,2514
2234, 22:57:48,-7925,-282,2524
2235, 22:57:48,-7861,-387,2567
2236, 22:57:48,-7829,-186,2410
2237, 22:57:48,-7860,-92,2436
2238, 22:57:48,-7778,-129,2444
2239, 22:57:48,-7675,-254,2322
2240, 22:57:49,-7672,-290,2329
2241, 22:57:49,-7786,-163,2324
2242, 22:57:49,-7813,-115,2291
2243, 22:57:49,-7863,-116,2260
2244, 22:57:49,-7803,-126,2274
2245, 22:57:49,-7880,-212,2340
2246, 22:57:49,-7690,-115,2654
2247, 22:57:49,-7691,-60,2626
2248, 22:57:49,-7778,-74,2621
2249, 22:57:49,-7764,-81,2625
2250, 22:57:49,-7743,-117,2563
2251, 22:57:49,-7774,-97,2550
2252, 22:57:49,-7751,-55,2568
2253, 22:57:49,-7746,-89,2602
2254, 22:57:49,-7729,-72,2549
2255, 22:57:49,-7743,-88,2547
2256, 22:57:49,-7757,-60,2560
2257, 22:57:49,-7770,-73,2565
2258, 22:57:49,-7752,-83,2533
2259, 22:57:49,-7761,-90,2570
2260, 22:57:49,-7740,-85,2523
2261, 22:57:49,-7730,-116,2582
2262, 22:57:49,-7750,-102,2542
2263, 22:57:49,-7832,-89,2515
2264, 22:57:49,-7756,-106,2506
2265, 22:57:49,-7738,-90,2506
2266, 22:57:49,-7763,-98,2530
2267, 22:57:49,-7793,-92,2536
2268, 22:57:49,-7753,-132,2500
2269, 22:57:50,-7781,-142,2481
2270, 22:57:50,-7796,-89,2501
2271, 22:57:50,-7784,-102,2541
2272, 22:57:50,-7756,-92,2519
2273, 22:57:50,-7722,-112,2512
2274, 22:57:50,-7772,-97,2526
2275, 22:57:50,-7771,-84,2556
2276, 22:57:50,-7775,-79,2469
2277, 22:57:50,-7767,-108,2506
2278, 22:57:50,-7775,-99,2494
2279, 22:57:50,-7772,-94,2524
2280, 22:57:50,-7726,-98,2544
2281, 22:57:50,-7793,-74,2519
2282, 22:57:50,-7804,-93,2551
2283, 22:57:50,-7730,-105,2513
2284, 22:57:50,-7711,-92,2532
2285, 22:57:50,-7775,-98,2502
2286, 22:57:50,-7782,-81,2573
2287, 22:57:50,-7725,-106,2575
2288, 22:57:50,-7744,-107,2517
2289, 22:57:50,-7780,-91,2496
2290, 22:57:50,-7779,-64,2542
2291, 22:57:50,-7771,-115,2557
2292, 22:57:50,-7749,-89,2534
2293, 22:57:52,-7731,-70,2567
2294, 22:57:52,-7752,-105,2574
2295, 22:57:52,-7772,-79,2556
2296, 22:57:52,-7761,-106,2529
2297, 22:57:52,-7747,-93,2527
2298, 22:57:52,-7759,-101,2553
2299, 22:57:52,-7742,-122,2541
2300, 22:57:52,-7753,-88,2520
2301, 22:57:52,-7802,-66,2563
2302, 22:57:52,-7799,-95,2545
2303, 22:57:52,-7752,-125,2543
2304, 22:57:52,-7744,-119,2506
2305, 22:57:52,-7752,-102,2520
2306, 22:57:58,-7816,-101,2579
2307, 22:57:58,-7794,-96,2560
2308, 22:57:58,-7730,-122,2585
2309, 22:57:58,-7750,-99,2531
2310, 22:57:58,-7772,-95,2563
2311, 22:57:58,-7739,-99,2568
2312, 22:57:58,-7739,-113,2579
2313, 22:57:58,-7702,-103,2547
2314, 22:57:58,-7753,-79,2506
2315, 22:57:58,-7766,-106,2532
2316, 22:57:58,-7757,-111,2567
2317, 22:57:58,-7757,-99,2571
2318, 22:57:58,-7754,-103,2588
2319, 22:57:58,-7743,-108,2559
2320, 22:57:59,-7784,-100,2538
2321, 22:57:59,-7742,-102,2536
2322, 22:57:59,-7773,-111,2544
2323, 22:57:59,-7737,-109,2588
2324, 22:57:59,-7758,-111,2548
2325, 22:57:59,-7733,-128,2530
2326, 22:57:59,-7734,-116,2539
2327, 22:57:59,-7756,-92,2602
2328, 22:57:59,-7760,-69,2558
2329, 22:57:59,-7780,-116,2552
2330, 22:57:59,-7777,-105,2553
2331, 22:57:59,-7747,-101,2544
2332, 22:57:59,-7736,-97,2590
2333, 22:57:59,-7742,-105,2577
2334, 22:57:59,-7746,-101,2600
2335, 22:57:59,-7740,-117,2528
2336, 22:57:59,-7763,-110,2593
2337, 22:57:59,-7751,-121,2580
2338, 22:57:59,-7740,-112,2570
2339, 22:57:59,-7758,-108,2561
2340, 22:57:59,-7762,-93,2592
2341, 22:57:59,-7764,-105,2608
2342, 22:57:59,-7746,-93,2600
2343, 22:57:59,-7728,-107,2568
2344, 22:57:59,-7749,-95,2615
2345, 22:57:59,-7760,-96,2533
2346, 22:57:59,-7749,-124,2500
2347, 22:57:59,-7781,-119,2509
2348, 22:57:59,-7783,-85,2501
2349, 22:58:00,-7777,-96,2459
2350, 22:58:00,-7767,-103,2485
2351, 22:58:00,-7764,-107,2499
2352, 22:58:00,-7757,-102,2569
2353, 22:58:00,-7760,-103,2504
2354, 22:58:00,-7730,-91,2472
2355, 22:58:00,-7794,-94,2496
2356, 22:58:00,-7792,-66,2486
2357, 22:58:00,-7754,-119,2425
2358, 22:58:00,-7715,-75,2692
2359, 22:58:00,-7703,-89,2716
2360, 22:58:00,-7702,-63,2702
2361, 22:58:00,-7721,-50,2690
2362, 22:58:00,-7731,-86,2696
2363, 22:58:00,-7732,-58,2686
2364, 22:58:00,-7739,-52,2691
2365, 22:58:00,-7724,-55,2694
2366, 22:58:00,-7714,-73,2658
2367, 22:58:00,-7722,-53,2660
2368, 22:58:00,-7703,-92,2719
2369, 22:58:00,-7710,-69,2679
2370, 22:58:00,-7748,-75,2670
2371, 22:58:00,-7698,-66,2689
2372, 22:58:00,-7701,-84,2688
2373, 22:58:00,-7681,-105,2683
2374, 22:58:00,-7713,-86,2670
2375, 22:58:00,-7751,-59,2685
2376, 22:58:00,-7737,-67,2673
2377, 22:58:01,-7708,-96,2664
2378, 22:58:01,-7711,-91,2642
2379, 22:58:01,-7737,-81,2664
2380, 22:58:01,-7696,-72,2715
2381, 22:58:01,-7688,-68,2669
2382, 22:58:01,-7672,-88,2666
2383, 22:58:01,-7743,-78,2633
2384, 22:58:01,-7747,-87,2686
2385, 22:58:01,-7708,-74,2621
2386, 22:58:01,-7719,-86,2655
2387, 22:58:01,-7746,-111,2641
2388, 22:58:01,-7756,-95,2635
2389, 22:58:01,-7735,-118,2634
2390, 22:58:01,-7734,-113,2608
2391, 22:58:01,-7701,-100,2612
2392, 22:58:01,-7758,-110,2623
2393, 22:58:01,-7750,-93,2615
2394, 22:58:01,-7710,-104,2612
2395, 22:58:01,-7713,-94,2557
2396, 22:58:01,-7759,-77,2608
2397, 22:58:01,-7761,-88,2605
2398, 22:58:01,-7745,-100,2571
2399, 22:58:01,-7753,-130,2572
2400, 22:58:01,-7759,-86,2567
2401, 22:58:01,-7781,-92,2557
2402, 22:58:01,-7760,-151,2589
2403, 22:58:01,-7750,-113,2521
2404, 22:58:01,-7742,-100,2536
2405, 22:58:01,-7781,-129,2520
2406, 22:58:01,-7753,-115,2536
2407, 22:58:02,-7775,-111,2551
2408, 22:58:02,-7751,-138,2520
2409, 22:58:02,-7784,-118,2529
2410, 22:58:02,-7767,-132,2520
2411, 22:58:02,-7743,-151,2519
2412, 22:58:02,-7784,-109,2522
2413, 22:58:02,-7805,-105,2503
2414, 22:58:02,-7753,-145,2494
2415, 22:58:02,-7739,-140,2509
2416, 22:58:02,-7771,-151,2491
2417, 22:58:02,-7766,-153,2518
2418, 22:58:02,-7780,-124,2547
2419, 22:58:02,-7749,-146,2495
2420, 22:58:02,-7795,-138,2474
2421, 22:58:02,-7779,-114,2507
2422, 22:58:02,-7738,-136,2544
2423, 22:58:02,-7767,-154,2544
2424, 22:58:02,-7717,-157,2507
2425, 22:58:02,-7761,-143,2517
2426, 22:58:02,-7785,-157,2489
2427, 22:58:02,-7758,-145,2519
2428, 22:58:02,-7756,-165,2485
2429, 22:58:02,-7773,-143,2531
2430, 22:58:02,-7774,-159,2590
2431, 22:58:02,-7795,-145,2538
2432, 22:58:02,-7758,-119,2532
2433, 22:58:02,-7721,-144,2517
2434, 22:58:02,-7790,-105,2506
2435, 22:58:02,-7832,-92,2544
2436, 22:58:03,-7746,-124,2541
2437, 22:58:03,-7733,-118,2514
2438, 22:58:03,-7773,-125,2568
2439, 22:58:03,-7764,-109,2560
2440, 22:58:03,-7768,-132,2501
2441, 22:58:03,-7751,-115,2495
